fold,held_out,model,accuracy,macro_f1,walking_precision,walking_recall,walking_f1
1,1_3,Passive Aggressive,0.5723877465379773,0.5544613459493726,0.6221910112359551,0.37133277451802177,0.4650918635170604
1,1_3,Linear Discriminant,0.8514477549307595,0.8504255409689567,0.802451333813987,0.9329421626152556,0.8627906976744186
1,1_3,Quadratic Discriminant,0.7184221569450273,0.7086697811260554,0.8461538461538461,0.5347862531433362,0.655367231638418
1,1_3,SVM (RBF),0.7490558120016786,0.7406505384876338,0.8909329829172142,0.5683151718357083,0.6939611054247697
1,1_3,SVM (Linear),0.7830465799412505,0.7819886737756836,0.830078125,0.7124895222129086,0.7668019846639603
1,1_3,Nu-SVC,0.7721359630717582,0.7675139912677313,0.8805620608899297,0.6303436714165969,0.734733756717147
1,1_3,KNN (k=5),0.8816617708770458,0.8816390728476822,0.8724448078495503,0.8943839061190276,0.8832781456953642
1,1_3,KNN (k=11),0.887536718422157,0.8874677368653272,0.8702962369895917,0.9111483654652137,0.8902538902538902
1,1_3,Decision Tree,0.5514057910197231,0.49788613367156775,0.6504854368932039,0.22464375523889354,0.3339563862928349
1,1_3,Extra Tree,0.5728073856483424,0.5603582385144461,0.6108998732572877,0.40402347024308466,0.4863773965691221
1,1_3,Random Forest,0.6663869072597566,0.636050060082473,0.896414342629482,0.37720033528918695,0.5309734513274337
1,1_3,Extra Trees,0.7654217373059169,0.7595625150600914,0.8875305623471883,0.6085498742665549,0.7220288413724515
1,1_3,Gradient Boosting,0.7184221569450273,0.7024567429942584,0.9090909090909091,0.4861693210393965,0.6335335882031676
1,1_3,Hist Gradient Boosting,0.6806546370121695,0.6584188245487637,0.8711340206185567,0.42497904442581724,0.5712676056338029
1,1_3,AdaBoost,0.7184221569450273,0.704906018891634,0.8838235294117647,0.5037720033528919,0.6417512012813668
1,1_3,Bagging,0.6009232060428031,0.5485002525229885,0.8201058201058201,0.2598491198658843,0.39465308720560155
1,1_3,Gaussian NB,0.7880822492656315,0.7837837303687004,0.9028103044496487,0.6462699077954736,0.7532975085490963
1,1_3,MLP,0.6626101552664708,0.6355803379865061,0.8595194085027726,0.3897736797988265,0.5363321799307958
1,1_3,XGBoost,0.6873688627780109,0.6643543310823163,0.8957597173144877,0.42497904442581724,0.5764638999431495
2,10_11,Logistic Regression,0.9120390937361172,0.9119903036851683,0.9140767824497258,0.9057971014492754,0.9099181073703366
2,10_11,Ridge Classifier,0.9062638827187917,0.9062312385382955,0.9040723981900453,0.904891304347826,0.9044816659121775
2,10_11,SGD Classifier,0.904042647712128,0.9039674250528142,0.9095940959409594,0.8931159420289855,0.9012797074954296
2,10_11,Passive Aggressive,0.8942692136828077,0.8942686920166979,0.8791593695271454,0.9094202898550725,0.8940338379341051
2,10_11,Linear Discriminant,0.9067081297201244,0.9066708312142051,0.9056261343012704,0.9039855072463768,0.9048050770625566
2,10_11,Quadratic Discriminant,0.9004886717014661,0.9004414958733168,0.900728597449909,0.8958333333333334,0.8982742960944596
2,10_11,SVM (RBF),0.914260328742781,0.9142072310379523,0.9175068744271311,0.9067028985507246,0.9120728929384966
2,10_11,SVM (Linear),0.9098178587294535,0.9097864522430046,0.9076923076923077,0.9085144927536232,0.908103214124038
2,10_11,Nu-SVC,0.9075966237227898,0.9075596804407365,0.9065335753176044,0.904891304347826,0.9057116953762466
2,10_11,KNN (k=5),0.9018214127054642,0.9018120337896823,0.8924444444444445,0.9094202898550725,0.9008524001794527
2,10_11,KNN (k=11),0.9049311417147934,0.9049107051208154,0.8994614003590664,0.907608695652174,0.9035166816952209
2,10_11,Decision Tree,0.7983118613949356,0.7944892486092208,0.8869047619047619,0.6748188405797102,0.7664609053497943
2,10_11,Extra Tree,0.8520657485561972,0.8520428556455438,0.8445040214477212,0.8559782608695652,0.8502024291497976
2,10_11,Random Forest,0.9151488227454465,0.9150962752759009,0.918423464711274,0.907608695652174,0.9129840546697039
2,10_11,Extra Trees,0.9115948467347845,0.9115512071179372,0.9124886052871468,0.9067028985507246,0.9095865515674694
2,10_11,Gradient Boosting,0.9129275877387828,0.9129040561967392,0.909009009009009,0.9139492753623188,0.9114724480578139
2,10_11,Hist Gradient Boosting,0.9093736117281208,0.9093373788937993,0.9083484573502723,0.9067028985507246,0.9075249320036265
2,10_11,AdaBoost,0.9089293647267881,0.9089005983929012,0.9060523938572719,0.9085144927536232,0.9072817729534147
2,10_11,Bagging,0.904042647712128,0.9038490745135264,0.9244741873804971,0.8759057971014492,0.8995348837209303
2,10_11,Gaussian NB,0.8916037316748112,0.8915989181286088,0.8798586572438163,0.9021739130434783,0.8908765652951699
2,10_11,MLP,0.8769435806308308,0.8767465502882938,0.89120151371807,0.8532608695652174,0.8718186024988431
2,10_11,XGBoost,0.9102621057307864,0.9102229667082083,0.91,0.9067028985507246,0.9083484573502723
