analysis,model,accuracy,walking_precision,walking_recall,walking_f1,macro_f1,n_folds
DS2_kfold,KNN (k=5),0.8362631020104966,0.887797249378087,0.7575180653247,0.8000724181248439,0.8281890762008355,3
DS2_kfold,Linear Discriminant,0.8313580839992744,0.8808909976907427,0.7694272788427664,0.798084915872125,0.8227595720722665,3
DS2_kfold,Ridge Classifier,0.8319132254644582,0.8798319585324833,0.7719644724560742,0.7988054364679714,0.8232993302714768,3
DS2_kfold,MLP,0.76937505482291,0.8689979200744262,0.6177592016398665,0.7069237191643314,0.7572600752631318,3
DS2_kfold,Quadratic Discriminant,0.8029022490046135,0.8615447664610608,0.7054611584551861,0.7692727129037994,0.7981330753274646,3
DS2_kfold,Bagging,0.7209750124761335,0.8227422437110136,0.5255757130631853,0.6140640953070461,0.6962646773790775,3
DS2_kfold,Passive Aggressive,0.7782734085089692,0.8059777651119883,0.6908065770132538,0.7362277411916865,0.7716151742007668,3
DS2_kfold,Decision Tree,0.6969807140701924,0.7529192400551624,0.5440338282358309,0.6091256030999405,0.6776305344944392,3
DS2_kfold,Extra Tree,0.7146856025579758,0.7419333883670931,0.611262151111624,0.6647637561683298,0.7074085578948376,3
DS2_aggregated,Random Forest,0.9369708372530574,0.9491525423728814,0.9198067632850242,0.9342492639842984,0.9368626627057896,1
DS2_aggregated,XGBoost,0.9444967074317968,0.9481915933528836,0.9371980676328504,0.9426627793974732,0.9444398673650994,1
DS2_aggregated,Gradient Boosting,0.940263405456256,0.9477317554240632,0.9285024154589372,0.9380185456320156,0.940184942357542,1
DS2_aggregated,Hist Gradient Boosting,0.944967074317968,0.945631067961165,0.9410628019323672,0.9433414043583536,0.9449217309857612,1
DS2_aggregated,Bagging,0.9388523047977424,0.9449360865290068,0.9285024154589372,0.9366471734892788,0.9387781321991848,1
DS2_aggregated,Extra Trees,0.927093132643462,0.940881763527054,0.9072463768115944,0.9237579931136252,0.92695335437565,1
DS2_aggregated,SVM (RBF),0.9242709313264346,0.9405241935483872,0.9014492753623188,0.9205722742969906,0.9241063618675964,1
DS2_aggregated,Linear Discriminant,0.9134524929444968,0.9355168884339816,0.8830917874396135,0.9085487077534792,0.913202925305311,1
DS2_aggregated,SVM (Linear),0.9158043273753528,0.934959349593496,0.8888888888888888,0.9113422486379396,0.9155905152728434,1
DS2_aggregated,Ridge Classifier,0.9148635936030104,0.9348268839103868,0.8869565217391304,0.9102627664848786,0.914639213220068,1
DS2_aggregated,Nu-SVC,0.913922859830668,0.9329268292682928,0.8869565217391304,0.9093610698365528,0.9137042698040804,1
DS2_aggregated,Logistic Regression,0.9134524929444968,0.9311043566362716,0.8879227053140096,0.9090009891196836,0.913244889178676,1
DS2_aggregated,SGD Classifier,0.9148635936030104,0.9295774647887324,0.8927536231884058,0.9107934943321834,0.9146859959290248,1
DS2_aggregated,MLP,0.9129821260583256,0.925,0.893719806763285,0.9090909090909092,0.9128224053799154,1
DS2_aggregated,Gaussian NB,0.8767638758231421,0.9178378378378378,0.8202898550724638,0.8663265306122448,0.8760079424439933,1
DS2_aggregated,KNN (k=11),0.913922859830668,0.9168297455968688,0.9053140096618356,0.9110354885755956,0.9138320950850642,1
DS2_aggregated,AdaBoost,0.9087488240827846,0.9134709931170109,0.8975845410628019,0.905458089668616,0.9086381357433988,1
DS2_aggregated,KNN (k=5),0.9129821260583256,0.9134241245136188,0.9072463768115944,0.9103247697527872,0.9129056466397558,1
DS2_aggregated,Quadratic Discriminant,0.8814675446848542,0.9031925849639548,0.8473429951690822,0.8743768693918246,0.8810887018374973,1
DS2_aggregated,Decision Tree,0.9026340545625589,0.8988439306358381,0.9014492753623188,0.9001447178002895,0.902573506215427,1
DS2_aggregated,Extra Tree,0.8800564440263405,0.8816046966731899,0.8705314009661835,0.8760330578512396,0.8799299685611551,1
DS2_aggregated,Passive Aggressive,0.8179680150517403,0.8306122448979592,0.7864734299516908,0.8079404466501241,0.8174704468386964,1
